player,year,position,height_in,weight_lb,forty_yd,bench_reps,vertical_in,broad_in,shuttle_20,cone_3
Cam Newton,2011,QB,77,248,4.59,21,35.0,126,4.17,7.01
Andrew Luck,2012,QB,76,234,4.67,0,36.0,124,4.28,7.15
Jalen Ramsey,2016,CB,73,209,4.41,14,41.5,135,4.18,6.94
Myles Garrett,2017,EDGE,76,272,4.64,33,41.0,128,4.29,7.12
Saquon Barkley,2018,RB,72,233,4.40,29,41.0,130,4.24,6.75
Quinnen Williams,2019,DT,75,303,4.83,30,30.5,112,4.83,7.55
Joe Burrow,2020,QB,76,221,4.80,0,0.0,0,0.00,0.00
Ja'Marr Chase,2021,WR,72,201,4.38,0,41.0,132,0.00,0.00
Aidan Hutchinson,2022,EDGE,79,260,4.74,28,36.0,117,4.15,7.31
Bryce Young,2023,QB,70,204,0.00,0,0.0,0,0.00,0.00
Caleb Williams,2024,QB,73,214,0.00,0,0.0,0,0.00,0.00
Marvin Harrison Jr.,2024,WR,75,205,0.00,0,0.0,0,0.00,0.00
