,Bin Number,Wavelength (nm)
0,0,300.0
1,1,303.53
2,2,307.06
3,3,310.59
4,4,314.12
5,5,317.65
6,6,321.18
7,7,324.71
8,8,328.24
9,9,331.76
10,10,335.29
11,11,338.82
12,12,342.35
13,13,345.88
14,14,349.41
15,15,352.94
16,16,356.47
17,17,360.0
18,18,363.53
19,19,367.06
20,20,370.59
21,21,374.12
22,22,377.65
23,23,381.18
24,24,384.71
25,25,388.24
26,26,391.76
27,27,395.29
28,28,398.82
29,29,402.35
30,30,405.88
31,31,409.41
32,32,412.94
33,33,416.47
34,34,420.0
35,35,423.53
36,36,427.06
37,37,430.59
38,38,434.12
39,39,437.65
40,40,441.18
41,41,444.71
42,42,448.24
43,43,451.76
44,44,455.29
45,45,458.82
46,46,462.35
47,47,465.88
48,48,469.41
49,49,472.94
50,50,476.47
51,51,480.0
52,52,483.53
53,53,487.06
54,54,490.59
55,55,494.12
56,56,497.65
57,57,501.18
58,58,504.71
59,59,508.24
60,60,511.76
61,61,515.29
62,62,518.82
63,63,522.35
64,64,525.88
65,65,529.41
66,66,532.94
67,67,536.47
68,68,540.0
69,69,543.53
70,70,547.06
71,71,550.59
72,72,554.12
73,73,557.65
74,74,561.18
75,75,564.71
76,76,568.24
77,77,571.76
78,78,575.29
79,79,578.82
80,80,582.35
81,81,585.88
82,82,589.41
83,83,592.94
84,84,596.47
85,85,600.0
86,86,603.53
87,87,607.06
88,88,610.59
89,89,614.12
90,90,617.65
91,91,621.18
92,92,624.71
93,93,628.24
94,94,631.76
95,95,635.29
96,96,638.82
97,97,642.35
98,98,645.88
99,99,649.41
100,100,652.94
101,101,656.47
102,102,660.0
103,103,663.53
104,104,667.06
105,105,670.59
106,106,674.12
107,107,677.65
108,108,681.18
109,109,684.71
110,110,688.24
111,111,691.76
112,112,695.29
113,113,698.82
114,114,702.35
115,115,705.88
116,116,709.41
117,117,712.94
118,118,716.47
119,119,720.0
120,120,723.53
121,121,727.06
122,122,730.59
123,123,734.12
124,124,737.65
125,125,741.18
126,126,744.71
127,127,748.24
128,128,751.76
129,129,755.29
130,130,758.82
131,131,762.35
132,132,765.88
133,133,769.41
134,134,772.94
135,135,776.47
136,136,780.0
137,137,783.53
138,138,787.06
139,139,790.59
140,140,794.12
141,141,797.65
142,142,801.18
143,143,804.71
144,144,808.24
145,145,811.76
146,146,815.29
147,147,818.82
148,148,822.35
149,149,825.88
150,150,829.41
151,151,832.94
152,152,836.47
153,153,840.0
154,154,843.53
155,155,847.06
156,156,850.59
157,157,854.12
158,158,857.65
159,159,861.18
160,160,864.71
161,161,868.24
162,162,871.76
163,163,875.29
164,164,878.82
165,165,882.35
166,166,885.88
167,167,889.41
168,168,892.94
169,169,896.47
170,170,900.0
171,171,903.53
172,172,907.06
173,173,910.59
174,174,914.12
175,175,917.65
176,176,921.18
177,177,924.71
178,178,928.24
179,179,931.76
180,180,935.29
181,181,938.82
182,182,942.35
183,183,945.88
184,184,949.41
185,185,952.94
186,186,956.47
187,187,960.0
188,188,963.53
189,189,967.06
190,190,970.59
191,191,974.12
192,192,977.65
193,193,981.18
194,194,984.71
195,195,988.24
196,196,991.76
197,197,995.29
198,198,998.82
199,199,1002.35
200,200,1005.88
201,201,1009.41
202,202,1012.94
203,203,1016.47
204,204,1020.0
205,205,1023.53
206,206,1027.06
207,207,1030.59
208,208,1034.12
209,209,1037.65
210,210,1041.18
211,211,1044.71
212,212,1048.24
213,213,1051.76
214,214,1055.29
215,215,1058.82
216,216,1062.35
217,217,1065.88
218,218,1069.41
219,219,1072.94
220,220,1076.47
221,221,1080.0
222,222,1083.53
223,223,1087.06
224,224,1090.59
225,225,1094.12
226,226,1097.65
227,227,1101.18
228,228,1104.71
229,229,1108.24
230,230,1111.76
231,231,1115.29
232,232,1118.82
233,233,1122.35
234,234,1125.88
235,235,1129.41
236,236,1132.94
237,237,1136.47
238,238,1140.0
239,239,1143.53
240,240,1147.06
241,241,1150.59
242,242,1154.12
243,243,1157.65
244,244,1161.18
245,245,1164.71
246,246,1168.24
247,247,1171.76
248,248,1175.29
249,249,1178.82
250,250,1182.35
251,251,1185.88
252,252,1189.41
253,253,1192.94
254,254,1196.47
255,255,1200.0
