sample_id,n_measurement_rows,n_unique_measurement_ids,n_duplicate_sample_measurement_id_pair_rows,duplicate_id_pair_status,n_duplicate_full_content_rows,duplicate_row_content_status,n_missing_sensor_cells,missing_fraction_total,missing_fraction_OES_bin,missing_fraction_V_t,missing_fraction_I_t,missing_fraction_IR_pix,missingness_status,sensor_dtype_status,n_infinite_values_at_source_check,n_reference_label_rows,has_exactly_one_finite_porosity_label,label_status,in_measurement_table,in_reference_table,join_status
0,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
1,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
2,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
3,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
4,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
5,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
6,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
7,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
8,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
9,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
10,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
11,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
12,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
13,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
14,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
15,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
16,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
17,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
18,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
19,100,100,0,no issue detected by this check,0,no issue detected by this check,0,0.0,0.0,0.0,0.0,0.0,no issue detected by this check,no issue detected by this check (validated column-wide in Section 6),0,1,True,no issue detected by this check,True,True,no issue detected by this check
