scheme,outer_fold,sample_id,actual_porosity,train_target_min,train_target_max,outside_training_target_range
five_fold,0,0,27.36,19.96,32.34,False
five_fold,0,1,26.89,19.96,32.34,False
five_fold,0,15,25.86,19.96,32.34,False
five_fold,0,17,27.28,19.96,32.34,False
five_fold,1,3,28.91,19.96,32.34,False
five_fold,1,5,28.34,19.96,32.34,False
five_fold,1,8,25.95,19.96,32.34,False
five_fold,1,11,28.12,19.96,32.34,False
five_fold,2,2,20.26,19.96,31.45,False
five_fold,2,13,25.95,19.96,31.45,False
five_fold,2,16,32.34,19.96,31.45,True
five_fold,2,18,22.05,19.96,31.45,False
five_fold,3,4,31.02,20.26,32.34,False
five_fold,3,9,19.96,20.26,32.34,True
five_fold,3,12,26.75,20.26,32.34,False
five_fold,3,19,31.45,20.26,32.34,False
five_fold,4,6,26.24,19.96,32.34,False
five_fold,4,7,28.55,19.96,32.34,False
five_fold,4,10,30.4,19.96,32.34,False
five_fold,4,14,26.31,19.96,32.34,False
loo,0,0,27.36,19.96,32.34,False
loo,1,1,26.89,19.96,32.34,False
loo,2,2,20.26,19.96,32.34,False
loo,3,3,28.91,19.96,32.34,False
loo,4,4,31.02,19.96,32.34,False
loo,5,5,28.34,19.96,32.34,False
loo,6,6,26.24,19.96,32.34,False
loo,7,7,28.55,19.96,32.34,False
loo,8,8,25.95,19.96,32.34,False
loo,9,9,19.96,20.26,32.34,True
loo,10,10,30.4,19.96,32.34,False
loo,11,11,28.12,19.96,32.34,False
loo,12,12,26.75,19.96,32.34,False
loo,13,13,25.95,19.96,32.34,False
loo,14,14,26.31,19.96,32.34,False
loo,15,15,25.86,19.96,32.34,False
loo,16,16,32.34,19.96,31.45,True
loo,17,17,27.28,19.96,32.34,False
loo,18,18,22.05,19.96,32.34,False
loo,19,19,31.45,19.96,32.34,False
