scheme,model,outer_fold,n_test_samples,mae,rmse,r2
five_fold,baseline_mean,0,4,0.47250000000000014,0.6267126534545165,-0.1012143620656436
five_fold,baseline_mean,1,4,1.4590625000000017,1.5293637617077915,-0.8544725594648204
five_fold,baseline_mean,2,4,4.7509375,5.177771336745666,-0.24900433578272008
five_fold,baseline_mean,3,4,3.9399999999999995,4.631000204127074,-0.006402611513053547
five_fold,baseline_mean,4,4,1.6000000000000005,2.045991603263561,-0.400765165806402
five_fold,baseline_median,0,4,0.5875000000000021,0.8377499626977031,-0.9677221511556653
five_fold,baseline_median,1,4,1.4450000000000003,1.5104138505720874,-0.8088007928642209
five_fold,baseline_median,2,4,4.680000000000001,5.115999413604345,-0.21938032709746969
five_fold,baseline_median,3,4,3.9399999999999995,4.6210199090676936,-0.0020694776680600935
five_fold,baseline_median,4,4,1.6000000000000005,1.9006643575339643,-0.20883910421041074
five_fold,pcr,0,4,2.9120058193170744,3.5507137334310475,-34.3481150697274
five_fold,pcr,1,4,1.4956669969723384,2.0857783464483632,-2.449333050951727
five_fold,pcr,2,4,2.734930627154074,3.062468130508897,0.5630604391714407
five_fold,pcr,3,4,2.340509731249531,2.620313637760062,0.6777976458996364
five_fold,pcr,4,4,2.9011452162046263,3.40783015175135,-2.886095968005095
five_fold,ridge,0,4,2.851140589681198,3.5187384818313068,-33.714340697132776
five_fold,ridge,1,4,1.7115339835126644,2.050884506043829,-2.334887815366214
five_fold,ridge,2,4,4.148078514423174,4.511709562931579,0.05166783462740876
five_fold,ridge,3,4,3.1737358190462537,3.6799937340130207,0.36449889041857175
five_fold,ridge,4,4,2.5648194915883247,3.0403129688270853,-2.0931018675115363
loo,baseline_mean,0,1,0.3794736842105273,0.3794736842105273,
loo,baseline_mean,1,1,0.11526315789473784,0.11526315789473784,
loo,baseline_mean,2,1,7.094210526315788,7.094210526315788,
loo,baseline_mean,3,1,2.011052631578945,2.011052631578945,
loo,baseline_mean,4,1,4.232105263157894,4.232105263157894,
loo,baseline_mean,5,1,1.4110526315789471,1.4110526315789471,
loo,baseline_mean,6,1,0.799473684210529,0.799473684210529,
loo,baseline_mean,7,1,1.6321052631579,1.6321052631579,
loo,baseline_mean,8,1,1.104736842105261,1.104736842105261,
loo,baseline_mean,9,1,7.409999999999997,7.409999999999997,
loo,baseline_mean,10,1,3.579473684210523,3.579473684210523,
loo,baseline_mean,11,1,1.179473684210528,1.179473684210528,
loo,baseline_mean,12,1,0.2626315789473672,0.2626315789473672,
loo,baseline_mean,13,1,1.104736842105261,1.104736842105261,
loo,baseline_mean,14,1,0.725789473684209,0.725789473684209,
loo,baseline_mean,15,1,1.1994736842105276,1.1994736842105276,
loo,baseline_mean,16,1,5.621578947368427,5.621578947368427,
loo,baseline_mean,17,1,0.29526315789473756,0.29526315789473756,
loo,baseline_mean,18,1,5.210000000000001,5.210000000000001,
loo,baseline_mean,19,1,4.684736842105263,4.684736842105263,
loo,baseline_median,0,1,0.46999999999999886,0.46999999999999886,
loo,baseline_median,1,1,0.39000000000000057,0.39000000000000057,
loo,baseline_median,2,1,7.02,7.02,
loo,baseline_median,3,1,2.0199999999999996,2.0199999999999996,
loo,baseline_median,4,1,4.129999999999999,4.129999999999999,
loo,baseline_median,5,1,1.4499999999999993,1.4499999999999993,
loo,baseline_median,6,1,1.0400000000000027,1.0400000000000027,
loo,baseline_median,7,1,1.6600000000000001,1.6600000000000001,
loo,baseline_median,8,1,1.3300000000000018,1.3300000000000018,
loo,baseline_median,9,1,7.32,7.32,
loo,baseline_median,10,1,3.509999999999998,3.509999999999998,
loo,baseline_median,11,1,1.2300000000000004,1.2300000000000004,
loo,baseline_median,12,1,0.5300000000000011,0.5300000000000011,
loo,baseline_median,13,1,1.3300000000000018,1.3300000000000018,
loo,baseline_median,14,1,0.9700000000000024,0.9700000000000024,
loo,baseline_median,15,1,1.4200000000000017,1.4200000000000017,
loo,baseline_median,16,1,5.450000000000003,5.450000000000003,
loo,baseline_median,17,1,0.39000000000000057,0.39000000000000057,
loo,baseline_median,18,1,5.23,5.23,
loo,baseline_median,19,1,4.559999999999999,4.559999999999999,
loo,pcr,0,1,4.726420774596484,4.726420774596484,
loo,pcr,1,1,1.6666451171560759,1.6666451171560759,
loo,pcr,2,1,5.973807617541098,5.973807617541098,
loo,pcr,3,1,0.2826790297361512,0.2826790297361512,
loo,pcr,4,1,4.158485758776962,4.158485758776962,
loo,pcr,5,1,3.5331909719296988,3.5331909719296988,
loo,pcr,6,1,1.2156840467636485,1.2156840467636485,
loo,pcr,7,1,1.5825674234869567,1.5825674234869567,
loo,pcr,8,1,0.5115804929776147,0.5115804929776147,
loo,pcr,9,1,3.8040743132311725,3.8040743132311725,
