scheme,outer_fold,model,hyperparameter,value,inner_mean_mae,excluded_candidates
five_fold,0,ridge,alpha,100.0,1.9562936655797774,
five_fold,0,pcr,n_components,5.0,2.1091858381543447,[]
five_fold,1,ridge,alpha,1000.0,2.052486406344823,
five_fold,1,pcr,n_components,2.0,2.1497194506287887,[]
five_fold,2,ridge,alpha,10000.0,1.6316219497310713,
five_fold,2,pcr,n_components,3.0,1.7416761756512151,[]
five_fold,3,ridge,alpha,10000.0,1.881194776455792,
five_fold,3,pcr,n_components,2.0,2.0004956983363416,[]
five_fold,4,ridge,alpha,1000.0,2.0633345129593432,
five_fold,4,pcr,n_components,5.0,1.8831018888687234,[]
loo,0,ridge,alpha,1000.0,2.12589805686907,
loo,0,pcr,n_components,5.0,2.286825803245315,[]
loo,1,ridge,alpha,10000.0,2.0837380097046325,
loo,1,pcr,n_components,2.0,2.2957919595125476,[]
loo,2,ridge,alpha,10000.0,2.122528013024486,
loo,2,pcr,n_components,2.0,2.236680814181998,[]
loo,3,ridge,alpha,1000.0,1.7842696390143162,
loo,3,pcr,n_components,5.0,1.8006635254244376,[]
loo,4,ridge,alpha,10000.0,2.7475556540982162,
loo,4,pcr,n_components,2.0,2.567562488577916,[]
loo,5,ridge,alpha,1000.0,2.267720849263895,
loo,5,pcr,n_components,2.0,2.180746793990321,[]
loo,6,ridge,alpha,10000.0,2.355440033680901,
loo,6,pcr,n_components,5.0,2.4480882427595367,[]
loo,7,ridge,alpha,10000.0,2.605623319230195,
loo,7,pcr,n_components,2.0,2.7644473206348317,[]
loo,8,ridge,alpha,1000.0,2.094495719927217,
loo,8,pcr,n_components,2.0,2.1555112926763713,[]
loo,9,ridge,alpha,10000.0,2.0932687832955716,
loo,9,pcr,n_components,3.0,2.192359931399762,[]
loo,10,ridge,alpha,10000.0,2.1323495928001264,
loo,10,pcr,n_components,3.0,2.3621184196900287,[]
loo,11,ridge,alpha,1000.0,2.2250834982289316,
loo,11,pcr,n_components,5.0,2.1676503558748856,[]
loo,12,ridge,alpha,10000.0,2.315667610469427,
loo,12,pcr,n_components,2.0,2.4165247097156777,[]
loo,13,ridge,alpha,1000.0,2.3444612229538824,
loo,13,pcr,n_components,3.0,2.3206212341039723,[]
loo,14,ridge,alpha,100.0,2.2359492866576773,
loo,14,pcr,n_components,5.0,2.219303391751642,[]
loo,15,ridge,alpha,1000.0,2.635685352123785,
loo,15,pcr,n_components,2.0,2.5816517503635414,[]
loo,16,ridge,alpha,10000.0,2.482903090514961,
loo,16,pcr,n_components,3.0,2.315152501375335,[]
loo,17,ridge,alpha,1.0,2.4866319066222378,
loo,17,pcr,n_components,2.0,2.5693020420112815,[]
loo,18,ridge,alpha,10000.0,2.2996791616604244,
loo,18,pcr,n_components,3.0,2.4932081838451583,[]
loo,19,ridge,alpha,10000.0,2.121872255979111,
loo,19,pcr,n_components,5.0,2.278510972487705,[]
